"Recip_County","Recip_State","Lat","Long"
"Autauga County","AL",32.532237,-86.64644
"Baldwin County","AL",30.659218,-87.746067
"Barbour County","AL",31.870253,-85.405104
"Bibb County","AL",33.015893,-87.127148
"Blount County","AL",33.977358,-86.56644
"Bullock County","AL",32.101759,-85.717261
"Butler County","AL",31.751667,-86.681969
"Calhoun County","AL",33.770516,-85.827909
"Chambers County","AL",32.915504,-85.394032
"Cherokee County","AL",34.069515,-85.654242
"Chilton County","AL",32.854051,-86.726607
"Choctaw County","AL",31.990954,-88.248889
"Clarke County","AL",31.685521,-87.818624
"Clay County","AL",33.2704,-85.863525
"Cleburne County","AL",33.671964,-85.516126
"Coffee County","AL",31.402258,-85.989602
"Colbert County","AL",34.703112,-87.801457
"Conecuh County","AL",31.430926,-86.988722
"Coosa County","AL",32.931445,-86.243482
"Covington County","AL",31.243987,-86.448721
"Crenshaw County","AL",31.730311,-86.320038
"Cullman County","AL",34.131923,-86.869267
"Dale County","AL",31.430654,-85.609476
"Dallas County","AL",32.333526,-87.11436
"DeKalb County","AL",34.460915,-85.804021
"Elmore County","AL",32.597229,-86.142735
"Escambia County","AL",31.122287,-87.16841
"Etowah County","AL",34.047641,-86.034263
"Fayette County","AL",33.716157,-87.764292
"Franklin County","AL",34.441989,-87.842814
"Geneva County","AL",31.092382,-85.821022
"Greene County","AL",32.844497,-87.9642
"Hale County","AL",32.752796,-87.623061
"Henry County","AL",31.516978,-85.239971
"Houston County","AL",31.158183,-85.296411
"Jackson County","AL",34.764114,-85.980056
"Jefferson County","AL",33.553444,-86.896536
"Lamar County","AL",33.787085,-88.087431
"Lauderdale County","AL",34.904168,-87.651108
"Lawrence County","AL",34.529776,-87.321865
"Lee County","AL",32.604064,-85.353048
"Limestone County","AL",34.810239,-86.981399
"Lowndes County","AL",32.147888,-86.650586
"Macon County","AL",32.387027,-85.692887
"Madison County","AL",34.764238,-86.55108
"Marengo County","AL",32.247591,-87.791091
"Marion County","AL",34.138219,-87.881551
"Marshall County","AL",34.309564,-86.321668
"Mobile County","AL",30.684572,-88.196568
"Monroe County","AL",31.580332,-87.383266
"Montgomery County","AL",32.202881,-86.204461
"Morgan County","AL",34.454484,-86.846402
"Perry County","AL",32.639005,-87.293827
"Pickens County","AL",33.2968,-88.096864
"Pike County","AL",31.798653,-85.941608
"Randolph County","AL",33.296461,-85.464064
"Russell County","AL",32.289811,-85.18698
"St. Clair County","AL",33.719491,-86.311327
"Shelby County","AL",33.266893,-86.661007
"Sumter County","AL",32.597481,-88.200057
"Talladega County","AL",33.369314,-86.17593
"Tallapoosa County","AL",32.863308,-85.799618
"Tuscaloosa County","AL",33.29022,-87.522783
"Walker County","AL",33.791558,-87.301094
"Washington County","AL",31.408503,-88.212404
"Wilcox County","AL",31.990082,-87.304935
"Winston County","AL",34.154566,-87.365346
"Aleutians East Borough","AK",55.245044,-161.997477
"Aleutians West Census Area","AK",51.948964,179.621188
"Anchorage Municipality","AK",61.17425,-149.284329
"Bethel Census Area","AK",60.929141,-160.152625
"Bristol Bay Borough","AK",58.741661,-156.966805
"Chugach Census Area","AK",60.488474,-146.203092
"Copper River Census Area","AK",62.034479,-143.922167
"Denali Borough","AK",63.682039,-150.027016
"Dillingham Census Area","AK",59.543326,-158.267123
"Fairbanks North Star Borough","AK",64.676044,-146.548159
"Haines Borough","AK",59.098404,-135.575791
"Hoonah-Angoon Census Area","AK",58.403336,-135.884909
"Juneau City and Borough","AK",58.37291,-134.178445
"Kenai Peninsula Borough","AK",60.360766,-152.05264
"Ketchikan Gateway Borough","AK",55.449938,-131.106685
"Kodiak Island Borough","AK",57.7044,-153.918372
"Kusilvak Census Area","AK",62.283588,-163.190171
"Lake and Peninsula Borough","AK",58.108507,-156.413413
"Matanuska-Susitna Borough","AK",62.265626,-149.503993
"Nome Census Area","AK",64.783686,-164.188912
"North Slope Borough","AK",69.449343,-153.47283
"Northwest Arctic Borough","AK",67.005066,-160.021086
"Petersburg Borough","AK",57.112458,-133.008598
"Prince of Wales-Hyder Census Area","AK",55.682773,-133.162389
"Sitka City and Borough","AK",57.193204,-135.367396
"Skagway Municipality","AK",59.560379,-135.338279
"Southeast Fairbanks Census Area","AK",63.864997,-143.218628
"Wrangell City and Borough","AK",56.180779,-132.026788
"Yakutat City and Borough","AK",60.017453,-140.416942
"Yukon-Koyukuk Census Area","AK",65.375727,-151.57785
"Apache County","AZ",35.385084,-109.490172
"Cochise County","AZ",31.840129,-109.775163
"Coconino County","AZ",35.829692,-111.773728
"Gila County","AZ",33.789618,-110.81187
"Graham County","AZ",32.931828,-109.87831
"Greenlee County","AZ",33.238872,-109.242323
"La Paz County","AZ",33.72761,-114.038806
"Maricopa County","AZ",33.345176,-112.49893
"Mohave County","AZ",35.717705,-113.749689
"Navajo County","AZ",35.390785,-110.321025
"Pima County","AZ",32.128038,-111.783657
"Pinal County","AZ",32.918521,-111.366339
"Santa Cruz County","AZ",31.525733,-110.845228
"Yavapai County","AZ",34.631071,-112.577225
"Yuma County","AZ",32.773942,-113.910905
"Arkansas County","AR",34.28957,-91.376547
"Ashley County","AR",33.190835,-91.772267
"Baxter County","AR",36.280268,-92.329949
"Benton County","AR",36.337819,-94.256298
"Boone County","AR",36.304299,-93.079236
"Bradley County","AR",33.466549,-92.169156
"Calhoun County","AR",33.56046,-92.513879
"Carroll County","AR",36.33737,-93.540972
"Chicot County","AR",33.267139,-91.297158
"Clark County","AR",34.053316,-93.176208
"Clay County","AR",36.367302,-90.418704
"Cleburne County","AR",35.566315,-92.05995
"Cleveland County","AR",33.893201,-92.188714
"Columbia County","AR",33.223038,-93.232843
"Conway County","AR",35.265702,-92.689248
"Craighead County","AR",35.827729,-90.631421
"Crawford County","AR",35.583011,-94.236219
"Crittenden County","AR",35.197559,-90.30512
"Cross County","AR",35.285692,-90.763984
"Dallas County","AR",33.967823,-92.653999
"Desha County","AR",33.828752,-91.244103
"Drew County","AR",33.587242,-91.722778
"Faulkner County","AR",35.146548,-92.336928
"Franklin County","AR",35.508558,-93.887665
"Fulton County","AR",36.381322,-91.819285
"Garland County","AR",34.578852,-93.146932
"Grant County","AR",34.285568,-92.422979
"Greene County","AR",36.120607,-90.566346
"Hempstead County","AR",33.735953,-93.664355
"Hot Spring County","AR",34.315177,-92.944147
"Howard County","AR",34.083064,-93.990931
"Independence County","AR",35.737499,-91.559942
"Izard County","AR",36.094879,-91.913625
"Jackson County","AR",35.596467,-91.223205
"Jefferson County","AR",34.277239,-91.929673
"Johnson County","AR",35.573359,-93.466322
"Lafayette County","AR",33.240629,-93.611514
"Lawrence County","AR",36.041098,-91.101153
"Lee County","AR",34.779505,-90.779717
"Lincoln County","AR",33.956385,-91.742355
"Little River County","AR",33.701941,-94.236287
"Logan County","AR",35.218654,-93.72091
"Lonoke County","AR",34.755114,-91.894132
"Madison County","AR",36.012545,-93.724053
"Marion County","AR",36.266664,-92.678577
"Miller County","AR",33.305505,-93.901502
