"Recip_County","Recip_State","Month","Year","Total","Lat","Long","Cases"
"Abbeville County","SC",12,2020,0,34.229041,-82.454058,35084
"Accomack County","VA",12,2020,0,37.765944,-75.757807,47215
"Ada County","ID",12,2020,0,43.451477,-116.244376,1007571
"Adair County","IA",12,2020,0,41.328528,-94.478164,16315
"Adair County","MO",12,2020,0,40.190666,-92.603592,46014
"Adair County","OK",12,2020,0,35.898043,-94.651026,47977
"Adams County","CO",12,2020,0,39.874325,-104.331872,1114726
"Adams County","IA",12,2020,0,41.021656,-94.696906,6834
"Adams County","ID",12,2020,0,44.877004,-116.461624,5230
"Adams County","IL",12,2020,0,39.986052,-91.194961,175313
"Adams County","IN",12,2020,0,40.74573,-84.936134,71454
"Adams County","MS",12,2020,0,31.486224,-91.351797,50757
"Adams County","ND",12,2020,0,46.096815,-102.533198,5837
"Adams County","NE",12,2020,0,40.520632,-98.500044,64312
"Adams County","OH",12,2020,0,38.834468,-83.478082,34623
"Adams County","PA",12,2020,0,39.869471,-77.21773,101354
"Adams County","WA",12,2020,0,47.011238,-118.512861,46587
"Adams County","WI",12,2020,0,43.973757,-89.767228,40507
"Addison County","VT",12,2020,0,44.031248,-73.141581,6892
"Aiken County","SC",12,2020,0,33.550013,-81.632983,241708
"Aitkin County","MN",12,2020,0,46.602446,-93.41976,28696
"Alachua County","FL",12,2020,0,29.67574,-82.357221,445187
"Alamance County","NC",12,2020,0,36.043954,-79.400573,273545
"Alameda County","CA",12,2020,0,37.647139,-121.912488,1247644
"Alamosa County","CO",12,2020,0,37.568442,-105.788041,25152
"Albany County","NY",12,2020,0,42.58824,-73.97401,264960
"Albany County","WY",12,2020,0,41.665514,-105.721883,103179
"Albemarle County","VA",12,2020,0,38.024184,-78.553506,72916
"Alcona County","MI",12,2020,0,44.657509,-83.29458,9227
"Alcorn County","MS",12,2020,0,34.886569,-88.581109,57632
"Alexander County","IL",12,2020,0,37.183658,-89.349516,9527
"Alexander County","NC",12,2020,0,35.920951,-81.177467,66296
"Alfalfa County","OK",12,2020,0,36.729703,-98.323445,21885
"Alger County","MI",12,2020,0,46.521736,-86.657119,12078
"Allamakee County","IA",12,2020,0,43.274964,-91.382751,32155
"Allegan County","MI",12,2020,0,42.421251,-86.261403,157986
"Allegany County","NY",12,2020,0,42.247853,-78.026153,45035
"Alleghany County","NC",12,2020,0,36.489356,-81.132299,15768
"Alleghany County","VA",12,2020,0,37.787905,-80.008669,16712
"Allegheny County","PA",12,2020,0,40.469757,-79.980451,1308188
"Allen County","IN",12,2020,0,41.091909,-85.071791,759585
"Allen County","OH",12,2020,0,40.771627,-84.106103,218008
"Allendale County","SC",12,2020,0,32.979757,-81.363265,14785
"Alpena County","MI",12,2020,0,44.894954,-83.426574,30529
"Alpine County","CA",12,2020,0,38.621783,-119.798352,1854
"Amador County","CA",12,2020,0,38.443549,-120.653858,46633
"Amelia County","VA",12,2020,0,37.331927,-77.977462,9495
"Amherst County","VA",12,2020,0,37.629304,-79.154667,35090
"Amite County","MS",12,2020,0,31.203933,-90.795542,22971
"Anderson County","SC",12,2020,0,34.521235,-82.638603,310423
"Anderson County","TN",12,2020,0,36.116731,-84.195418,136586
"Anderson County","TX",12,2020,0,31.841261,-95.661727,120269
"Andrew County","MO",12,2020,0,39.988863,-94.803551,30167
"Andrews County","TX",12,2020,0,32.312258,-102.640206,38630
"Angelina County","TX",12,2020,0,31.251896,-94.611134,142798
"Anoka County","MN",12,2020,0,45.27411,-93.242723,827750
"Anson County","NC",12,2020,0,34.974972,-80.109763,36528
"Antelope County","NE",12,2020,0,42.183225,-98.058037,12136
"Antrim County","MI",12,2020,0,45.005455,-85.175639,17067
"Apache County","AZ",12,2020,0,35.385084,-109.490172,202900
"Appanoose County","IA",12,2020,0,40.744249,-92.873062,27595
"Appling County","GA",12,2020,0,31.739712,-82.290103,45864
"Appomattox County","VA",12,2020,0,37.370725,-78.81094,16892
"Aransas County","TX",12,2020,0,28.122621,-96.967501,18326
"Arapahoe County","CO",12,2020,0,39.644554,-104.331706,1052030
"Archer County","TX",12,2020,0,33.616305,-98.687267,12813
"Archuleta County","CO",12,2020,0,37.202395,-107.050863,12408
"Arenac County","MI",12,2020,0,44.036833,-83.740675,16949
"Arkansas County","AR",12,2020,0,34.28957,-91.376547,35240
"Arlington County","VA",12,2020,0,38.878337,-77.100703,235929
"Armstrong County","PA",12,2020,0,40.81238,-79.464129,81298
"Armstrong County","TX",12,2020,0,34.964179,-101.356636,2666
"Arthur County","NE",12,2020,0,41.57193,-101.695917,512
"Ashe County","NC",12,2020,0,36.443469,-81.499334,31482
"Ashland County","OH",12,2020,0,40.843273,-82.270127,63836
"Ashland County","WI",12,2020,0,46.544424,-90.679691,28526
"Ashley County","AR",12,2020,0,33.190835,-91.772267,33765
"Ashtabula County","OH",12,2020,0,41.906637,-80.745592,102013
"Asotin County","WA",12,2020,0,46.181861,-117.227781,25870
"Atascosa County","TX",12,2020,0,28.891478,-98.535381,72189
"Atchison County","MO",12,2020,0,40.431846,-95.437555,7619
"Athens County","OH",12,2020,0,39.332755,-82.045885,82704
"Atkinson County","GA",12,2020,0,31.296806,-82.878151,21124
"Atlantic County","NJ",12,2020,0,39.469355,-74.633759,313830
"Atoka County","OK",12,2020,0,34.392469,-96.036558,33373
"Attala County","MS",12,2020,0,33.090468,-89.588622,45502
"Audrain County","MO",12,2020,0,39.214481,-91.843418,50338
"Audubon County","IA",12,2020,0,41.679178,-94.904312,10477
"Auglaize County","OH",12,2020,0,40.561309,-84.224018,97268
"Augusta County","VA",12,2020,0,38.17259,-79.140975,71076
"Aurora County","SD",12,2020,0,43.724719,-98.577587,12149
"Austin County","TX",12,2020,0,29.891901,-96.27017,25522
"Autauga County","AL",12,2020,0,32.532237,-86.64644,108652
"Avery County","NC",12,2020,0,36.07209,-81.920285,36635
"Baca County","CO",12,2020,0,37.30978,-102.543741,4769
"Bacon County","GA",12,2020,0,31.55021,-82.451433,26974
"Bailey County","TX",12,2020,0,34.067521,-102.830345,19802
"Baker County","FL",12,2020,0,30.324442,-82.302284,69560
"Baker County","GA",12,2020,0,31.31958,-84.454881,4407
"Baker County","OR",12,2020,0,44.703427,-117.691933,11688
"Baldwin County","AL",12,2020,0,30.659218,-87.746067,348455
"Baldwin County","GA",12,2020,0,33.05949,-83.255457,89902
"Bamberg County","SC",12,2020,0,33.203021,-81.053161,26228
"Bandera County","TX",12,2020,0,29.756389,-99.248285,13151
"Banks County","GA",12,2020,0,34.351922,-83.498441,31896
"Banner County","NE",12,2020,0,41.53975,-103.726263,657
"Bannock County","ID",12,2020,0,42.692921,-112.228982,175654
"Baraga County","MI",12,2020,0,46.695859,-88.36181,18361
"Barbour County","AL",12,2020,0,31.870253,-85.405104,40753
"Barbour County","WV",12,2020,0,39.139725,-79.996947,18207
"Barnes County","ND",12,2020,0,46.94255,-98.070195,36385
"Barnstable County","MA",12,2020,0,41.706123,-70.164823,130371
"Barnwell County","SC",12,2020,0,33.260552,-81.434228,36664
"Barron County","WI",12,2020,0,45.437192,-91.852892,129639
"Barrow County","GA",12,2020,0,33.992009,-83.712303,134694
"Barry County","MI",12,2020,0,42.582811,-85.31455,83055
"Barry County","MO",12,2020,0,36.699376,-93.834334,51033
"Bartholomew County","IN",12,2020,0,39.205843,-85.897999,145217
"Barton County","MO",12,2020,0,37.500799,-94.344089,21822
"Bartow County","GA",12,2020,0,34.240917,-84.838188,202007
"Bastrop County","TX",12,2020,0,30.100772,-97.310639,96985
"Bates County","MO",12,2020,0,38.257217,-94.339246,21336
"Bath County","VA",12,2020,0,38.068368,-79.731203,3206
"Baxter County","AR",12,2020,0,36.280268,-92.329949,54034
"Bay County","FL",12,2020,0,30.15914,-85.534395,315397
"Bay County","MI",12,2020,0,43.699711,-83.978701,172186
"Bayfield County","WI",12,2020,0,46.634199,-91.177282,26459
"Baylor County","TX",12,2020,0,33.618802,-99.208189,4169
"Beadle County","SD",12,2020,0,44.418265,-98.279422,75255
"Bear Lake County","ID",12,2020,0,42.285892,-111.327517,7246
"Beaufort County","NC",12,2020,0,35.482313,-76.842014,64857
"Beaufort County","SC",12,2020,0,32.358112,-80.689422,257081
"Beaver County","OK",12,2020,0,36.748334,-100.483056,8312
"Beaver County","PA",12,2020,0,40.68414,-80.350721,200852
"Beaver County","UT",12,2020,0,38.357535,-113.238948,8321
"Beaverhead County","MT",12,2020,0,45.133863,-112.892869,21333
"Becker County","MN",12,2020,0,46.937629,-95.741757,77183
"Beckham County","OK",12,2020,0,35.270601,-99.690057,51628
"Bedford County","PA",12,2020,0,39.998634,-78.494747,74197
"Bedford County","TN",12,2020,0,35.51366,-86.458294,116971
"Bedford County","VA",12,2020,0,37.312257,-79.527223,76563
"Bee County","TX",12,2020,0,28.416077,-97.742586,72498
"Belknap County","NH",12,2020,0,43.519109,-71.425366,41810
"Bell County","TX",12,2020,0,31.04275,-97.481268,331775
"Belmont County","OH",12,2020,0,40.017682,-80.967727,79809
"Beltrami County","MN",12,2020,0,47.879508,-95.00505,81532
"Ben Hill County","GA",12,2020,0,31.740772,-83.147197,39326
"Benewah County","ID",12,2020,0,47.218451,-116.633541,10944
"Bennett County","SD",12,2020,0,43.186912,-101.677181,10540
"Bennington County","VT",12,2020,0,43.035328,-73.111496,10550
"Benson County","ND",12,2020,0,48.071743,-99.351152,27986
"Bent County","CO",12,2020,0,37.931891,-103.077584,21743
"Benton County","AR",12,2020,0,36.337819,-94.256298,463420
"Benton County","IA",12,2020,0,42.092547,-92.05763,58232
"Benton County","IN",12,2020,0,40.600939,-87.314786,19214
"Benton County","MN",12,2020,0,45.701225,-94.00144,111519
"Benton County","MO",12,2020,0,38.301036,-93.287942,32108
"Benton County","MS",12,2020,0,34.809593,-89.200213,18033
"Benton County","OR",12,2020,0,44.493882,-123.424664,34260
"Benton County","TN",12,2020,0,36.070948,-88.071232,32004
"Benton County","WA",12,2020,0,46.228125,-119.516659,315697
"Benzie County","MI",12,2020,0,44.636844,-86.231999,17955
"Bergen County","NJ",12,2020,0,40.959698,-74.074727,1294036
"Berkeley County","SC",12,2020,0,33.2077,-79.953655,251516
"Berkeley County","WV",12,2020,0,39.447938,-78.037754,148544
"Berks County","PA",12,2020,0,40.413957,-75.92686,586629
"Berkshire County","MA",12,2020,0,42.371493,-73.217928,71557
"Bernalillo County","NM",12,2020,0,35.053628,-106.66908,1085324
"Berrien County","GA",12,2020,0,31.288652,-83.22787,28077
"Berrien County","MI",12,2020,0,41.791382,-86.742543,261402
"Bertie County","NC",12,2020,0,36.059043,-76.962364,32939
"Bexar County","TX",12,2020,0,29.448671,-98.520147,3043189
"Bibb County","AL",12,2020,0,33.015893,-87.127148,47009
"Bibb County","GA",12,2020,0,32.808845,-83.694194,273565
"Big Horn County","MT",12,2020,0,45.407868,-107.518162,60746
"Big Horn County","WY",12,2020,0,44.525117,-107.994848,19968
"Big Stone County","MN",12,2020,0,45.419925,-96.402226,12286
"Billings County","ND",12,2020,0,47.007044,-103.364016,1400
"Bingham County","ID",12,2020,0,43.216357,-112.399206,102533
"Black Hawk County","IA",12,2020,0,42.471132,-92.3076,371452
"Blackford County","IN",12,2020,0,40.472672,-85.32373,24319
"Bladen County","NC",12,2020,0,34.591938,-78.539489,49176
"Blaine County","ID",12,2020,0,43.394192,-113.955371,45770
"Blaine County","MT",12,2020,0,48.428282,-108.967648,17804
"Blaine County","NE",12,2020,0,41.931945,-99.996407,465
"Blaine County","OK",12,2020,0,35.877795,-98.429031,16863
"Blair County","PA",12,2020,0,40.498683,-78.309597,196945
"Blanco County","TX",12,2020,0,30.266456,-98.399217,7394
"Bland County","VA",12,2020,0,37.130612,-81.125853,11201
"Bleckley County","GA",12,2020,0,32.435403,-83.331717,25661
"Bledsoe County","TN",12,2020,0,35.593561,-85.20591,43007
"Blount County","AL",12,2020,0,33.977358,-86.56644,121270
"Blount County","TN",12,2020,0,35.688185,-83.922973,243552
"Blue Earth County","MN",12,2020,0,44.03371,-94.064012,145868
"Boise County","ID",12,2020,0,43.987275,-115.71511,6443
"Bolivar County","MS",12,2020,0,33.799139,-90.88412,90423
"Bollinger County","MO",12,2020,0,37.318427,-90.024645,28029
"Bon Homme County","SD",12,2020,0,42.985799,-97.884199,44352
"Bond County","IL",12,2020,0,38.885924,-89.436592,41867
"Bonner County","ID",12,2020,0,48.324634,-116.62745,46770
"Bonneville County","ID",12,2020,0,43.395171,-111.621878,288347
"Boone County","AR",12,2020,0,36.304299,-93.079236,69024
"Boone County","IA",12,2020,0,42.038623,-93.938605,51662
"Boone County","IL",12,2020,0,42.318983,-88.824295,141882
"Boone County","IN",12,2020,0,40.050892,-86.469014,113430
"Boone County","MO",12,2020,0,38.989861,-92.310202,378191
"Boone County","NE",12,2020,0,41.703934,-98.070476,11892
"Boone County","WV",12,2020,0,38.022814,-81.713538,26497
"Borden County","TX",12,2020,0,32.73859,-101.439199,425
"Bosque County","TX",12,2020,0,31.900819,-97.637641,20413
"Botetourt County","VA",12,2020,0,37.565482,-79.797546,31915
"Bottineau County","ND",12,2020,0,48.794412,-100.831257,18215
"Boulder County","CO",12,2020,0,40.094966,-105.397702,411449
"Boundary County","ID",12,2020,0,48.773131,-116.524668,14300
"Bowie County","TX",12,2020,0,33.446065,-94.422393,103153
"Bowman County","ND",12,2020,0,46.110144,-103.505943,8204
"Box Butte County","NE",12,2020,0,42.21038,-103.081779,22461
"Box Elder County","UT",12,2020,0,41.622623,-113.060252,91975
"Boyd County","NE",12,2020,0,42.894448,-98.773022,4793
"Bradford County","FL",12,2020,0,29.952386,-82.166698,53747
"Bradford County","PA",12,2020,0,41.791504,-76.502123,78286
"Bradley County","AR",12,2020,0,33.466549,-92.169156,22763
"Bradley County","TN",12,2020,0,35.153914,-84.859414,227351
"Branch County","MI",12,2020,0,41.918455,-85.066885,111292
"Brantley County","GA",12,2020,0,31.197334,-81.982978,28340
"Braxton County","WV",12,2020,0,38.69933,-80.73166,6125
"Brazoria County","TX",12,2020,0,29.167817,-95.434647,549704
