"longitude","latitude","cluster"
-82.454058,34.229041,7
-75.757807,37.765944,6
-116.244376,43.451477,1
-94.478164,41.328528,2
-92.603592,40.190666,2
-94.651026,35.898043,3
-104.331872,39.874325,1
-94.696906,41.021656,2
-116.461624,44.877004,1
-91.194961,39.986052,2
-84.936134,40.74573,2
-91.351797,31.486224,3
-102.533198,46.096815,1
-98.500044,40.520632,2
-83.478082,38.834468,7
-77.21773,39.869471,6
-118.512861,47.011238,1
-89.767228,43.973757,2
-73.141581,44.031248,6
-81.632983,33.550013,7
-93.41976,46.602446,2
-82.357221,29.67574,5
-79.400573,36.043954,7
-121.912488,37.647139,4
-105.788041,37.568442,1
-73.97401,42.58824,6
-105.721883,41.665514,1
-78.553506,38.024184,6
-83.29458,44.657509,2
-88.581109,34.886569,7
-89.349516,37.183658,2
-81.177467,35.920951,7
-98.323445,36.729703,3
-86.657119,46.521736,2
-91.382751,43.274964,2
-86.261403,42.421251,2
-78.026153,42.247853,6
-81.132299,36.489356,7
-80.008669,37.787905,7
-79.980451,40.469757,6
-85.071791,41.091909,2
-84.106103,40.771627,2
-81.363265,32.979757,7
-83.426574,44.894954,2
-119.798352,38.621783,4
-120.653858,38.443549,4
-77.977462,37.331927,6
-79.154667,37.629304,6
-90.795542,31.203933,3
-82.638603,34.521235,7
-84.195418,36.116731,7
-95.661727,31.841261,3
-94.803551,39.988863,2
-102.640206,32.312258,3
-94.611134,31.251896,3
-93.242723,45.27411,2
-80.109763,34.974972,7
-98.058037,42.183225,2
-85.175639,45.005455,2
-109.490172,35.385084,4
-92.873062,40.744249,2
-82.290103,31.739712,7
-78.81094,37.370725,6
-96.967501,28.122621,3
-104.331706,39.644554,1
-98.687267,33.616305,3
-107.050863,37.202395,1
-83.740675,44.036833,2
-91.376547,34.28957,3
-77.100703,38.878337,6
-79.464129,40.81238,6
-101.356636,34.964179,3
-101.695917,41.57193,1
-81.499334,36.443469,7
-82.270127,40.843273,2
-90.679691,46.544424,2
-91.772267,33.190835,3
-80.745592,41.906637,6
-117.227781,46.181861,1
-98.535381,28.891478,3
-95.437555,40.431846,2
-82.045885,39.332755,7
-82.878151,31.296806,7
-74.633759,39.469355,6
-96.036558,34.392469,3
-89.588622,33.090468,7
-91.843418,39.214481,2
-94.904312,41.679178,2
-84.224018,40.561309,2
-79.140975,38.17259,6
-98.577587,43.724719,2
-96.27017,29.891901,3
-86.64644,32.532237,7
-81.920285,36.07209,7
-102.543741,37.30978,3
-82.451433,31.55021,7
-102.830345,34.067521,3
-82.302284,30.324442,5
-84.454881,31.31958,7
-117.691933,44.703427,1
-87.746067,30.659218,7
-83.255457,33.05949,7
-81.053161,33.203021,7
-99.248285,29.756389,3
-83.498441,34.351922,7
-103.726263,41.53975,1
-112.228982,42.692921,1
-88.36181,46.695859,2
-85.405104,31.870253,7
-79.996947,39.139725,6
-98.070195,46.94255,2
-70.164823,41.706123,6
-81.434228,33.260552,7
-91.852892,45.437192,2
-83.712303,33.992009,7
-85.31455,42.582811,2
-93.834334,36.699376,3
-85.897999,39.205843,2
-94.344089,37.500799,3
-84.838188,34.240917,7
-97.310639,30.100772,3
-94.339246,38.257217,2
-79.731203,38.068368,6
-92.329949,36.280268,3
-85.534395,30.15914,5
-83.978701,43.699711,2
-91.177282,46.634199,2
-99.208189,33.618802,3
-98.279422,44.418265,2
-111.327517,42.285892,1
-76.842014,35.482313,6
-80.689422,32.358112,7
-100.483056,36.748334,3
-80.350721,40.68414,6
-113.238948,38.357535,4
-112.892869,45.133863,1
-95.741757,46.937629,2
-99.690057,35.270601,3
-78.494747,39.998634,6
-86.458294,35.51366,7
-79.527223,37.312257,7
-97.742586,28.416077,3
-71.425366,43.519109,6
-97.481268,31.04275,3
-80.967727,40.017682,6
-95.00505,47.879508,2
-83.147197,31.740772,7
-116.633541,47.218451,1
-101.677181,43.186912,1
-73.111496,43.035328,6
-99.351152,48.071743,2
-103.077584,37.931891,3
-94.256298,36.337819,3
-92.05763,42.092547,2
-87.314786,40.600939,2
-94.00144,45.701225,2
-93.287942,38.301036,2
-89.200213,34.809593,7
-123.424664,44.493882,1
-88.071232,36.070948,7
-119.516659,46.228125,1
-86.231999,44.636844,2
-74.074727,40.959698,6
-79.953655,33.2077,7
-78.037754,39.447938,6
-75.92686,40.413957,6
-73.217928,42.371493,6
-106.66908,35.053628,3
-83.22787,31.288652,7
-86.742543,41.791382,2
-76.962364,36.059043,6
-98.520147,29.448671,3
-87.127148,33.015893,7
-83.694194,32.808845,7
-107.518162,45.407868,1
-107.994848,44.525117,1
-96.402226,45.419925,2
-103.364016,47.007044,1
-112.399206,43.216357,1
-92.3076,42.471132,2
-85.32373,40.472672,2
-78.539489,34.591938,7
-113.955371,43.394192,1
-108.967648,48.428282,1
-99.996407,41.931945,2
-98.429031,35.877795,3
-78.309597,40.498683,6
-98.399217,30.266456,3
-81.125853,37.130612,7
-83.331717,32.435403,7
-85.20591,35.593561,7
-86.56644,33.977358,7
-83.922973,35.688185,7
-94.064012,44.03371,2
-115.71511,43.987275,1
-90.88412,33.799139,3
-90.024645,37.318427,2
-97.884199,42.985799,2
-89.436592,38.885924,2
-116.62745,48.324634,1
-111.621878,43.395171,1
-93.079236,36.304299,3
-93.938605,42.038623,2
-88.824295,42.318983,2
-86.469014,40.050892,2
-92.310202,38.989861,2
-98.070476,41.703934,2
-81.713538,38.022814,7
-101.439199,32.73859,3
-97.637641,31.900819,3
-79.797546,37.565482,7
-100.831257,48.794412,1
-105.397702,40.094966,1
-116.524668,48.773131,1
-94.422393,33.446065,3
-103.505943,46.110144,1
-103.081779,42.21038,1
-113.060252,41.622623,1
-98.773022,42.894448,2
-82.166698,29.952386,5
-76.502123,41.791504,6
-92.169156,33.466549,3
-84.859414,35.153914,7
-85.066885,41.918455,2
-81.982978,31.197334,7
-80.73166,38.69933,6
-95.434647,29.167817,3
-96.302394,30.656713,3
-92.327356,42.780895,2
-80.700333,28.298311,5
-103.252458,29.808997,3
-101.205893,34.525172,3
-71.088894,41.748588,6
-71.286687,41.70684,6
-111.497873,46.329849,1
-80.578691,40.272645,6
-96.797797,44.376675,2
-83.581905,30.822934,7
-98.215276,27.034994,3
-75.830283,42.161977,6
-105.050787,39.953593,1
-80.476683,26.193535,5
-90.750309,39.962069,2
-86.230121,39.195113,2
-94.733647,44.246541,2
-99.92392,42.359562,2
-83.866772,38.931377,7
-98.352175,45.589254,2
-98.998456,31.764137,3
-87.99613,44.474024,2
-99.092909,43.729873,2
-78.227765,34.038754,7
-77.861483,36.764204,6
-81.438543,32.017969,7
-96.265135,33.964004,3
-91.838666,42.470328,2
-94.808173,39.660369,2
-82.038151,37.26812,7
-78.529169,37.573928,6
-75.10706,40.336887,6
-95.141432,42.741522,2
-99.074984,40.855265,2
-99.203998,44.044306,2
-91.761294,44.385633,2
-81.741618,32.394481,7
-85.717261,32.101759,7
-82.530423,35.609371,7
-89.528377,41.401304,2
-82.000164,33.060181,7
-81.70618,35.746182,7
-102.520087,48.786453,1
-100.469533,46.978829,1
-96.622091,30.493487,3
-74.663006,39.875786,6
-98.201187,30.78963,3
-92.37573,45.866897,2
-96.337746,41.854179,2
-86.681969,31.751667,7
-92.780153,42.734757,2
-90.40313,36.71518,2
-97.132039,41.226072,2
-84.565734,39.439747,2
-79.918978,40.913847,6
-121.603209,39.665336,4
-113.177631,43.685101,1
-103.501436,44.896226,1
-83.958221,33.290355,7
-80.552728,35.388346,7
-82.243397,38.419578,7
-111.745394,41.734118,1
-98.381045,35.16792,3
-120.554107,38.191068,4
-93.979179,39.658998,2
-81.51254,35.966396,7
-97.628141,29.832399,3
-72.112168,44.468791,6
-85.827909,33.770516,7
-92.513879,33.56046,3
-85.197915,30.388801,7
-84.62629,31.521279,7
-94.643683,42.38617,2
-90.666295,39.164262,2
-85.012385,42.24299,2
-89.337114,33.936634,7
-80.780347,33.67478,7
-96.579574,28.441719,3
