"Recip_County","Recip_State","Lat","Long","Cases"
"Abbeville County","SC",34.229041,-82.454058,1906304
"Accomack County","VA",37.765944,-75.757807,2077756
"Ada County","ID",43.451477,-116.244376,38952279
"Adair County","IA",41.328528,-94.478164,554844
"Adair County","MO",40.190666,-92.603592,1859653
"Adair County","OK",35.898043,-94.651026,2379694
"Adams County","CO",39.874325,-104.331872,41396818
"Adams County","IA",41.021656,-94.696906,253811
"Adams County","ID",44.877004,-116.461624,237055
"Adams County","IL",39.986052,-91.194961,6771075
"Adams County","IN",40.74573,-84.936134,2460723
"Adams County","MS",31.486224,-91.351797,2178312
"Adams County","ND",46.096815,-102.533198,193536
"Adams County","NE",40.520632,-98.500044,2085669
"Adams County","OH",38.834468,-83.478082,1977189
"Adams County","PA",39.869471,-77.21773,6995336
"Adams County","WA",47.011238,-118.512861,1556309
"Adams County","WI",43.973757,-89.767228,1422621
"Addison County","VT",44.031248,-73.141581,1047844
"Aiken County","SC",33.550013,-81.632983,12694938
"Aitkin County","MN",46.602446,-93.41976,954238
"Alachua County","FL",29.67574,-82.357221,19611539
"Alamance County","NC",36.043954,-79.400573,13528642
"Alameda County","CA",37.647139,-121.912488,70135199
"Alamosa County","CO",37.568442,-105.788041,1257747
"Albany County","NY",42.58824,-73.97401,17254603
"Albany County","WY",41.665514,-105.721883,3166734
"Albemarle County","VA",38.024184,-78.553506,4363906
"Alcona County","MI",44.657509,-83.29458,516309
"Alcorn County","MS",34.886569,-88.581109,2761845
"Alexander County","IL",37.183658,-89.349516,375322
"Alexander County","NC",35.920951,-81.177467,3179849
"Alfalfa County","OK",36.729703,-98.323445,679677
"Alger County","MI",46.521736,-86.657119,521392
"Allamakee County","IA",43.274964,-91.382751,997786
"Allegan County","MI",42.421251,-86.261403,7819845
"Allegany County","NY",42.247853,-78.026153,2585542
"Alleghany County","NC",36.489356,-81.132299,828922
"Alleghany County","VA",37.787905,-80.008669,1024072
"Allegheny County","PA",40.469757,-79.980451,73486499
"Allen County","IN",41.091909,-85.071791,30964329
"Allen County","OH",40.771627,-84.106103,8528751
"Allendale County","SC",32.979757,-81.363265,655354
"Alpena County","MI",44.894954,-83.426574,1629423
"Alpine County","CA",38.621783,-119.798352,51407
"Amador County","CA",38.443549,-120.653858,2717992
"Amelia County","VA",37.331927,-77.977462,715208
"Amherst County","VA",37.629304,-79.154667,2125623
"Amite County","MS",31.203933,-90.795542,976803
"Anderson County","SC",34.521235,-82.638603,17266693
"Anderson County","TN",36.116731,-84.195418,6452749
"Anderson County","TX",31.841261,-95.661727,3806274
"Andrew County","MO",39.988863,-94.803551,1422294
"Andrews County","TX",32.312258,-102.640206,1301575
"Angelina County","TX",31.251896,-94.611134,5814212
"Anoka County","MN",45.27411,-93.242723,29642326
"Anson County","NC",34.974972,-80.109763,1913560
"Antelope County","NE",42.183225,-98.058037,368287
"Antrim County","MI",45.005455,-85.175639,1190750
"Apache County","AZ",35.385084,-109.490172,7396351
"Appanoose County","IA",40.744249,-92.873062,925698
"Appling County","GA",31.739712,-82.290103,1629748
"Appomattox County","VA",37.370725,-78.81094,1138985
"Aransas County","TX",28.122621,-96.967501,1140019
"Arapahoe County","CO",39.644554,-104.331706,44433534
"Archer County","TX",33.616305,-98.687267,623331
"Archuleta County","CO",37.202395,-107.050863,787113
"Arenac County","MI",44.036833,-83.740675,887633
"Arkansas County","AR",34.28957,-91.376547,1693460
"Arlington County","VA",38.878337,-77.100703,11263260
"Armstrong County","PA",40.81238,-79.464129,4471703
"Armstrong County","TX",34.964179,-101.356636,146665
"Arthur County","NE",41.57193,-101.695917,13144
"Ashe County","NC",36.443469,-81.499334,1731791
"Ashland County","OH",40.843273,-82.270127,3467592
"Ashland County","WI",46.544424,-90.679691,997058
"Ashley County","AR",33.190835,-91.772267,1533401
"Ashtabula County","OH",41.906637,-80.745592,5511568
"Asotin County","WA",46.181861,-117.227781,1265271
"Atascosa County","TX",28.891478,-98.535381,4136881
"Atchison County","MO",40.431846,-95.437555,370273
"Athens County","OH",39.332755,-82.045885,4028129
"Atkinson County","GA",31.296806,-82.878151,732968
"Atlantic County","NJ",39.469355,-74.633759,20861191
"Atoka County","OK",34.392469,-96.036558,1292663
"Attala County","MS",33.090468,-89.588622,1629310
"Audrain County","MO",39.214481,-91.843418,1885827
"Audubon County","IA",41.679178,-94.904312,355742
"Auglaize County","OH",40.561309,-84.224018,3598806
"Augusta County","VA",38.17259,-79.140975,5006266
"Aurora County","SD",43.724719,-98.577587,291100
"Austin County","TX",29.891901,-96.27017,1658338
"Autauga County","AL",32.532237,-86.64644,4958319
"Avery County","NC",36.07209,-81.920285,1417765
"Baca County","CO",37.30978,-102.543741,237853
"Bacon County","GA",31.55021,-82.451433,1165221
"Bailey County","TX",34.067521,-102.830345,525955
"Baker County","FL",30.324442,-82.302284,2751607
"Baker County","GA",31.31958,-84.454881,174217
"Baker County","OR",44.703427,-117.691933,874358
"Baldwin County","AL",30.659218,-87.746067,17155746
"Baldwin County","GA",33.05949,-83.255457,3197771
"Bamberg County","SC",33.203021,-81.053161,1080473
"Bandera County","TX",29.756389,-99.248285,1070714
"Banks County","GA",34.351922,-83.498441,1303795
"Banner County","NE",41.53975,-103.726263,26795
"Bannock County","ID",42.692921,-112.228982,6428186
"Baraga County","MI",46.695859,-88.36181,678965
"Barbour County","AL",31.870253,-85.405104,1731829
"Barbour County","WV",39.139725,-79.996947,1273629
"Barnes County","ND",46.94255,-98.070195,973022
"Barnstable County","MA",41.706123,-70.164823,9833272
"Barnwell County","SC",33.260552,-81.434228,1838409
"Barron County","WI",45.437192,-91.852892,4306034
"Barrow County","GA",33.992009,-83.712303,7038619
"Barry County","MI",42.582811,-85.31455,4128712
"Barry County","MO",36.699376,-93.834334,2117610
"Bartholomew County","IN",39.205843,-85.897999,6190883
"Barton County","MO",37.500799,-94.344089,881407
"Bartow County","GA",34.240917,-84.838188,9834679
"Bastrop County","TX",30.100772,-97.310639,6736142
"Bates County","MO",38.257217,-94.339246,1099865
"Bath County","VA",38.068368,-79.731203,233433
"Baxter County","AR",36.280268,-92.329949,2701395
"Bay County","FL",30.15914,-85.534395,14736439
"Bay County","MI",43.699711,-83.978701,7790475
"Bayfield County","WI",46.634199,-91.177282,948009
"Baylor County","TX",33.618802,-99.208189,246336
"Beadle County","SD",44.418265,-98.279422,1767709
"Bear Lake County","ID",42.285892,-111.327517,299914
"Beaufort County","NC",35.482313,-76.842014,3539974
"Beaufort County","SC",32.358112,-80.689422,12921544
"Beaver County","OK",36.748334,-100.483056,307564
"Beaver County","PA",40.68414,-80.350721,11489116
"Beaver County","UT",38.357535,-113.238948,524548
